trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
362,False,"{'a': 0.5, 'e': 0.027051846866350416}",20,14,9.867734805397317,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.026782676492638175}",25,3,30.784857588893406,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.02651618440889418}",20,0,15.573892585081484,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
365,False,"{'a': 0.5, 'e': 0.02625234396568796}",25,15,17.13128416268961,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.5, 'e': 0.025991128778755347}",25,17,14.705736042813486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.5, 'e': 0.02573251272635994}",20,7,-19.05684242349764,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
368,False,"{'a': 0.5, 'e': 0.025476469946681016}",20,16,5.597016128155915,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.5, 'e': 0.025222974835227212}",30,22,6.766297850930499,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.5, 'e': 0.024972002042276155}",25,0,1.007122071264513,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
371,False,"{'a': 0.5, 'e': 0.024723526470339388}",20,0,31.94874054004681,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
372,False,"{'a': 0.5, 'e': 0.02447752327165267}",20,7,21.335563624429604,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.5, 'e': 0.024233967845691113}",25,0,31.41819540627216,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
374,False,"{'a': 0.5, 'e': 0.023992835836709175}",30,21,14.576749086995902,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.5, 'e': 0.023754103131304997}",25,14,18.850239773704747,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.5, 'e': 0.023517745856009107}",20,14,12.182122164339294,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.5, 'e': 0.023283740374897}",20,15,10.304525640694893,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
